"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","attn_check_1","attn_check_2","attn_check_3_1","attn_check_3_2","attn_check_3_3","attn_check_4","ys_con_q1_1","ys_con_q2_1","ys_con_q3_1","ys_con_comp_1","ys_con_comp_2","ys_lib_q1_1","ys_lib_q2_1","ys_lib_q3_1","ys_lib_comp_1","ys_lib_comp_2","st_con_q1_1","st_con_q2_1","st_con_q3_1","st_con_comp_1","st_con_comp_2","st_lib_q1_1","st_lib_q2_1","st_lib_q3_1","st_lib_comp_1","st_lib_comp_2","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID","FL_5_DO"
"1/14/22 12:58","1/14/22 12:59",0,"Anonymized",100,47,1,"1/14/22 12:59","R_DdCRJ7NanHGoqw9",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,1,15,30,61,1,NA,NA,NA,NA,NA,58,29,68,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"test","cmc_6","YoungScouting,Liberal"
"1/14/22 13:08","1/14/22 13:09",0,"Anonymized",100,66,1,"1/14/22 13:09","R_RWSKHtXi3ZzG5KV",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,53,39,1,2,1,"",1,"",39,5,NA,"","cmc_6","SciTech,Liberal"
"1/14/22 13:08","1/14/22 13:10",0,"Anonymized",100,103,1,"1/14/22 13:10","R_3im9J6qWhnev8pM",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,31,35,2,1,NA,NA,NA,NA,NA,2,"",1,"",35,5,NA,"","cmc_6","SciTech,Conservative"
"1/14/22 13:08","1/14/22 13:10",0,"Anonymized",100,120,1,"1/14/22 13:10","R_sdvZ9JTZjlUPDCp",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,40,100,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",1,"",36,6,NA,"Thank you","cmc_6","YoungScouting,Liberal"
"1/14/22 13:09","1/14/22 13:10",0,"Anonymized",100,108,1,"1/14/22 13:10","R_1jYVqq787sJgBEc",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,81,79,2,3,1,"",1,"",40,5,NA,"","cmc_6","SciTech,Liberal"
"1/14/22 13:08","1/14/22 13:11",0,"Anonymized",100,137,1,"1/14/22 13:11","R_3P4TYVwoh98UqAP",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",1,"",41,5,NA,"","cmc_6","YoungScouting,Liberal"
"1/14/22 13:10","1/14/22 13:11",0,"Anonymized",100,80,1,"1/14/22 13:11","R_3HFVfNAOfwh4oWv",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,60,40,1,3,2,"",1,"",19,4,NA,"","cmc_6","SciTech,Liberal"
"1/14/22 13:10","1/14/22 13:11",0,"Anonymized",100,95,1,"1/14/22 13:11","R_1pS5eqhbc9atU61",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,57,74,3,1,NA,NA,NA,NA,NA,2,"",1,"",38,5,NA,"","cmc_6","SciTech,Conservative"
"1/14/22 13:08","1/14/22 13:12",0,"Anonymized",100,187,1,"1/14/22 13:12","R_26kCAcczg5RhYYQ",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,29,100,60,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"",3,"",59,7,NA,"","cmc_6","YoungScouting,Conservative"
"1/14/22 13:10","1/14/22 13:12",0,"Anonymized",100,104,1,"1/14/22 13:12","R_rkdo2Ja2CRUaYH7",NA,NA,NA,NA,"Anonymized","Anonymized","anonymous","EN",1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,65,78,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"",1,"",64,5,NA,"","cmc_6","YoungScouting,Liberal"
