"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","attn_check_1_1","attn_check_1_2","attn_check_1_3","attn_check_2","WW_deteriorate_Q1_1","WW_deteriorate_Q2_1","comprehension_chk_Q1","comprehension_chk_Q2","WW_improve_Q1_1","WW_improve_Q2_1","comprehension_chk_Q1.1","comprehension_chk_Q2.1","BL_deteriorate_Q1_1","BL_deteriorate_Q2_1","comprehension_chk_Q1.2","comprehension_chk_Q2.2","BL_improve_Q1_1","BL_improve_Q2_1","comprehension_chk_Q1.3","comprehension_chk_Q2.3","WL_detiriorate_Q1_1","WL_detiriorate_Q2_1","comprehension_chk_Q1.4","comprehension_chk_Q2.4","WL_improve_Q1_1","WL_improve_Q2_1","comprehension_chk_Q1.5","comprehension_chk_Q2.5","AM_deteriorate_Q1_1","AM_deteriorate_Q2_1","comprehension_chk_Q1.6","comprehension_chk_Q2.6","AM_improve_Q1_1","AM_improve_Q2_1","comprehension_chk_Q1.7","comprehension_chk_Q2.7","TC_deteriorate_Q1_1","TC_deteriorate_Q2_1","comprehension_chk_Q1.8","comprehension_chk_Q2.8","TC_improve_Q1_1","TC_improve_Q2_1","comprehension_chk_Q1.9","comprehension_chk_Q2.9","RO_deteriorate_Q1_1","RO_deteriorate_Q2_1","comprehension_chk_Q1.10","comprehension_chk_Q2.10","RO_improve_Q1_1","RO_improve_Q2_1","comprehension_chk_Q1.11","comprehension_chk_Q2.11","BT_deteriorate_Q1_1","BT_deteriorate_Q2_1","comprehension_chk_Q1.12","comprehension_chk_Q2.12","BT_improve_Q1_1","BT_improve_Q2_1","comprehension_chk_Q1.13","comprehension_chk_Q2.13","DL_deteriorate_Q1_1","DL_deteriorate_Q2_1","comprehension_chk_Q1.14","comprehension_chk_Q2.14","DL_improve_Q1_1","DL_improve_Q2_1","comprehension_chk_Q1.15","comprehension_chk_Q2.15","politics_1","gender","gender_4_TEXT","ethnicity","ethnicity_5_TEXT","age","education","education_9_TEXT","comments","StudyID","FL_4_DO"
"5/7/20 8:44","5/7/20 8:46",0,1,100,110,1,"5/7/20 8:46","R_r6zKymy1DnGWqMV",NA,NA,NA,NA,1,1,"anonymous","EN",1,15,30,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,30,1,"",1,"",30,4,NA,"","cmc_1a","BluewaterTobacco,Improve"
"5/7/20 8:45","5/7/20 8:46",0,2,100,72,1,"5/7/20 8:46","R_1libL341sCLxlYm",NA,NA,NA,NA,2,2,"anonymous","EN",1,15,30,46,1,NA,NA,NA,NA,80,82,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,"",1,"",44,5,NA,"","cmc_1a","WestWinter,Improve"
"5/7/20 8:44","5/7/20 8:46",0,3,100,114,1,"5/7/20 8:46","R_D0EeqK3cBQKRvgt",NA,NA,NA,NA,3,3,"anonymous","EN",1,15,30,40,1,NA,NA,NA,NA,29,11,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,"",1,"",39,4,NA,"no comments","cmc_1a","WestWinter,Improve"
"5/7/20 8:44","5/7/20 8:46",0,4,100,126,1,"5/7/20 8:46","R_6DMtFv87630loJP",NA,NA,NA,NA,4,4,"anonymous","EN",1,15,30,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,71,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,2,"",1,"",50,5,NA,"","cmc_1a","Tecigo,Deteriorate"
"5/7/20 8:44","5/7/20 8:47",0,5,100,156,1,"5/7/20 8:47","R_blm93rt6ILgiOcN",NA,NA,NA,NA,5,5,"anonymous","EN",1,15,30,100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1,"",1,"",42,5,NA,"None.","cmc_1a","BluewaterTobacco,Deteriorate"
"5/7/20 8:45","5/7/20 8:47",0,6,100,120,1,"5/7/20 8:47","R_3g6Hel6xoBnvA30",NA,NA,NA,NA,6,6,"anonymous","EN",1,15,30,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,27,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"",1,"",62,6,NA,"","cmc_1a","RoyalOil,Deteriorate"
"5/7/20 8:46","5/7/20 8:47",0,7,100,66,1,"5/7/20 8:47","R_3noeAtiWCf8OI08",NA,NA,NA,NA,7,7,"anonymous","EN",1,15,40,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"",3,"",23,5,NA,"","cmc_1a","WonderlandClothing,Deteriorate"
"5/7/20 8:45","5/7/20 8:47",0,8,100,112,1,"5/7/20 8:47","R_3gMmO7bZYr08JQb",NA,NA,NA,NA,8,8,"anonymous","EN",1,15,40,70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,100,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,"",1,"",27,5,NA,"","cmc_1a","BrighterLab,Improve"
"5/7/20 8:45","5/7/20 8:47",0,9,100,94,1,"5/7/20 8:47","R_1OqSyJChSkutoes",NA,NA,NA,NA,9,9,"anonymous","EN",1,15,30,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,"",1,"",30,5,NA,"","cmc_1a","AccessMine,Deteriorate"
"5/7/20 8:45","5/7/20 8:47",0,10,100,122,1,"5/7/20 8:47","R_21iw3eXWST4vyXq",NA,NA,NA,NA,10,10,"anonymous","EN",1,15,30,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,2,3,NA,NA,NA,NA,50,1,"",1,"",30,5,NA,"","cmc_1a","DocLips,Deteriorate"
