,Name ,Link,handle,State,Party ,date1,date1_followers,date1_tweets,date2,date2_followers,date2_tweets,diff_followers,diff_tweets
0,"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,SenatorBaldwin,WI,D,4/24/22,144472,17671,4/26/22,143943,17674,-529,3
1,"Barrasso, John",https://twitter.com/SenJohnBarrasso,SenJohnBarrasso,WY,R,4/24/22,157201,6740,4/26/22,157235,6743,34,3
2,"Bennet, Michael F.",https://twitter.com/SenatorBennet,SenatorBennet,CO,D,4/24/22,312535,7257,4/26/22,311564,7262,-971,5
3,"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,MarshaBlackburn,TN,R,4/24/22,465755,14404,4/26/22,481645,14416,15890,12
4,"Blumenthal, Richard",https://twitter.com/SenBlumenthal,SenBlumenthal,CT,D,4/24/22,729672,17468,4/26/22,727399,17477,-2273,9
5,"Blunt, Roy",https://twitter.com/RoyBlunt,RoyBlunt,MO,R,4/24/22,128063,15433,4/26/22,128040,15435,-23,2
6,"Booker, Cory A.",https://twitter.com/CoryBooker,CoryBooker,NJ,D,4/24/22,4943172,67168,4/26/22,4934426,67171,-8746,3
7,"Boozman, John",https://twitter.com/JohnBoozman,JohnBoozman,AR,R,4/24/22,104490,8681,4/26/22,104506,8692,16,11
8,"Braun, Mike",https://twitter.com/SenatorBraun,SenatorBraun,IN,R,4/24/22,36589,3617,4/26/22,36648,3617,59,0
9,"Brown, Sherrod",https://twitter.com/SenSherrodBrown,SenSherrodBrown,OH,D,4/24/22,514356,8873,4/26/22,512230,8876,-2126,3
10,"Burr, Richard",https://twitter.com/SenatorBurr,SenatorBurr,NC,R,4/24/22,172937,3983,4/26/22,172662,3983,-275,0
11,"Cantwell, Maria",https://twitter.com/SenatorCantwell,SenatorCantwell,WA,D,4/24/22,260297,10090,4/26/22,259565,10094,-732,4
12,"Capito, Shelley Moore",https://twitter.com/SenCapito,SenCapito,WV,R,4/24/22,89969,12385,4/26/22,89984,12389,15,4
13,"Cardin, Benjamin L.",https://twitter.com/SenatorCardin,SenatorCardin,MD,D,4/24/22,263130,13625,4/26/22,262731,13636,-399,11
14,"Carper, Thomas R.",https://twitter.com/SenatorCarper,SenatorCarper,DE,D,4/24/22,114233,11649,4/26/22,113950,11651,-283,2
15,"Casey, Robert P. Jr.",https://twitter.com/SenBobCasey,SenBobCasey,PA,D,4/24/22,438881,14508,4/26/22,437979,14515,-902,7
16,"Cassidy, Bill",https://twitter.com/SenBillCassidy,SenBillCassidy,LA,R,4/24/22,46160,5738,4/26/22,46134,5743,-26,5
17,"Collins, Susan M.",https://twitter.com/SenatorCollins,SenatorCollins,ME,R,4/24/22,566665,4357,4/26/22,565901,4359,-764,2
18,"Coons, Christopher A.",https://twitter.com/ChrisCoons,ChrisCoons,DE,D,4/24/22,219196,16504,4/26/22,218517,16508,-679,4
19,"Cornyn, John",https://twitter.com/JohnCornyn,JohnCornyn,TX,R,4/24/22,328408,50976,4/26/22,330024,51015,1616,39
20,"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,SenCortezMasto,NV,D,4/24/22,62258,10625,4/26/22,62057,10629,-201,4
21,"Cotton, Tom",https://twitter.com/SenTomCotton,SenTomCotton,AR,R,4/24/22,481537,11099,4/26/22,486809,11100,5272,1
22,"Cramer, Kevin",https://twitter.com/SenKevinCramer,SenKevinCramer,ND,R,4/24/22,31054,7995,4/26/22,31132,8005,78,10
23,"Crapo, Mike",https://twitter.com/MikeCrapo,MikeCrapo,ID,R,4/24/22,125402,9394,4/26/22,125427,9396,25,2
24,"Cruz, Ted",https://twitter.com/SenTedCruz,SenTedCruz,TX,R,4/24/22,2437106,19056,4/26/22,2478878,19067,41772,11
25,"Daines, Steve",https://twitter.com/SteveDaines,SteveDaines,MT,R,4/24/22,78503,8352,4/26/22,78649,8357,146,5
26,"Duckworth, Tammy",https://twitter.com/SenDuckworth,SenDuckworth,IL,D,4/24/22,772956,10371,4/26/22,769276,10377,-3680,6
27,"Durbin, Richard J.",https://twitter.com/SenatorDurbin,SenatorDurbin,IL,D,4/24/22,750531,21581,4/26/22,748323,21587,-2208,6
28,"Ernst, Joni",https://twitter.com/SenJoniErnst,SenJoniErnst,IA,R,4/24/22,129195,8087,4/26/22,130039,8091,844,4
29,"Feinstein, Dianne",https://twitter.com/SenFeinstein,SenFeinstein,CA,D,4/24/22,1501329,13336,4/26/22,1497358,13338,-3971,2
30,"Fischer, Deb",https://twitter.com/SenatorFischer,SenatorFischer,NE,R,4/24/22,102513,7685,4/26/22,102487,7689,-26,4
31,"Gillibrand, Kirsten E.",https://twitter.com/SenGillibrand,SenGillibrand,NY,D,4/24/22,1603644,21124,4/26/22,1598665,21124,-4979,0
32,"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,LindseyGrahamSC,SC,R,4/24/22,2055408,13729,4/26/22,2065978,13731,10570,2
33,"Grassley, Chuck",https://twitter.com/ChuckGrassley,ChuckGrassley,IA,R,4/24/22,690398,11045,4/26/22,694400,11048,4002,3
34,"Hagerty, Bill",https://twitter.com/SenatorHagerty,SenatorHagerty,TN,R,4/24/22,15888,4225,4/26/22,15949,4239,61,14
35,"Hassan, Margaret Wood",https://twitter.com/SenatorHassan,SenatorHassan,NH,D,4/24/22,162589,11645,4/26/22,162186,11650,-403,5
36,"Hawley, Josh",https://twitter.com/HawleyMO,HawleyMO,MO,R,4/24/22,748005,6089,4/26/22,758589,6093,10584,4
37,"Heinrich, Martin",https://twitter.com/MartinHeinrich,MartinHeinrich,NM,D,4/24/22,209712,10379,4/26/22,209219,10379,-493,0
38,"Hickenlooper, John W.",https://twitter.com/SenatorHick,SenatorHick,CO,D,4/24/22,29874,1241,4/26/22,29664,1248,-210,7
39,"Hirono, Mazie K.",https://twitter.com/maziehirono,maziehirono,HI,D,4/24/22,515383,7436,4/26/22,512980,7439,-2403,3
40,"Hoeven, John",https://twitter.com/SenJohnHoeven,SenJohnHoeven,ND,R,4/24/22,118376,4879,4/26/22,118409,4880,33,1
41,"Hyde-Smith, Cindy",https://twitter.com/SenHydeSmith,SenHydeSmith,MS,R,4/24/22,22714,2755,4/26/22,22745,2756,31,1
42,"Inhofe, James M.",https://twitter.com/JimInhofe,JimInhofe,OK,R,4/24/22,94587,5148,4/26/22,94654,5149,67,1
43,"Johnson, Ron",https://twitter.com/SenRonJohnson,SenRonJohnson,WI,R,4/24/22,335402,7372,4/26/22,338459,7375,3057,3
44,"Kaine, Tim",https://twitter.com/timkaine,timkaine,VA,D,4/24/22,1000317,11527,4/26/22,997130,11529,-3187,2
